is_spam,sms,Predicted_Labels
0,havent plane buy late i check alreadi lido got show e afternon u finish work alreadi,ham
1,your fre rington wait colect simpli text pasword mix verifi get usher britney fml,spam
0,watch telugu moviewat abt u,ham
0,se when finish load loan pay,ham
0,hi wk ok hol now ye bit run forgot hairdres apoint four ned get home n shower beforehand doe caus prob u ham,ham
0,pleas text anymor i noth els say,ham
0,okay name ur price long legal wen i pick up y u ave x am x,ham
0,im stil loke car buy and gone the drive test yet,ham
0,as per request mele mele oru minaminungint nurungu vetam set calertun caler pre copi friend calertun,ham
0,wow your right i mean that i gue gave boston men chang search locat nyc someth chang cuz signin page stil say boston,ham
0,uma life vava uma love lot dear,ham
0,thank lot wish birthday thank make birthday truli memor,ham
0,aight il hit i get cash,ham
0,how would ip adr test consid comput minecraft server,ham
0,i know grumpi old peopl my mom like beter lie then i alway one play joke,ham
0,dont wori i gue he busi,ham
0,what plural noun research,ham
0,go dinermsg after,ham
0,im ok wif co like tri new thing but scare u dun like mah co u said loud,ham
1,gent we tri contact you last wekend draw show å prize guarant cal claim code k valid hr onli pm,spam
0,wa ur openin sentenc formal anyway im fine to juz t im eatin much n putin weighthaha so anythin special hapen,ham
0,as i enter cabin pa said hapi bday bo i felt special she askd lunch after lunch invit apart we went there,ham
1,you winer u speciali select receiv å holiday flight inc speak live oper claim pmin,spam
0,godo ye must speak friday egpotato ratio tortila nede,ham
0,hmi uncl inform he pay schol directli so pl buy fod,ham
1,privat your acount statement show unredem bonu point to claim cal identifi code expir,spam
1,urgent your mobil no award å bonu caler prize thi final tri contact u cal landlin boxwrc pm,spam
0,new adr aplespairs malarki,ham
1,today voda number end select receiv award if match pleas cal quot claim code standard rate ap,spam
0,i go sao mu today wil done,ham
0,ìï predict wat time ìl finish buy,ham
0,god stuf do,ham
0,just knowyetund sent money yet i sent text bother send so over dont involv anyth i impos anyth first place that apologis,ham
0,are rom,ham
0,hey girl how r u hope u r wel me an del r bak again long time no c give me a cal sum time from lucyx,ham
0,khow much cost,ham
0,im home,ham
0,dear cal tmorowpl acomod,ham
0,first answer question,ham
1,sunshin quiz wkli q win top soni dvd player u know countri algarv in txt ansr å sptyron,spam
1,want get laid tonight want real doge locat sent direct ur mob join uk large doge network bt txting gravel nt eca pmsgp,ham
0,i haf msn it yijuehotmailcom,ham
0,he there you cal met,ham
0,no no i check rom befor activ,ham
1,youl rcv msg chat svc for fre hardcor servic text go to if u get noth u must age verifi yr network tri,spam
0,got c i lazi type i forgot ì lect i saw pouch like v nice,ham
0,k text way,ham
0,sir wait mail,ham
0,a swt thought nver get tire litl thing lovabl person cozsomtim litl thing ocupi big part heart gud ni,ham
0,i know are can pl open back,ham
0,ye se ya dot,ham
0,what staf name take cla us,ham
1,fremsg whi repli text im randi sexi femal live local luv hear u netcolex ltd p per msg repli stop end,spam
0,umawil cal check inour life begin qatar pl pray hard,ham
0,ki delet contact whi,ham
0,sindu got job birla soft,ham
0,the wine flow im never,ham
0,yup thk cine beter co ned go plaza mah,ham
0,ok ur typic repli,ham
0,as per request mele mele oru minaminungint nurungu vetam set calertun caler pre copi friend calertun,ham
0,you everywher dirt flor window even shirt and sometim open mouth come flow out i dream world without you half chore to a time joy me lot tv show il se but gue like thing must exist like rain hail mist time done becom one,ham
0,aoright work,ham
0,im leav hous now,ham
0,helo love what do did get interview today are hapi are god boy do think mear mise,ham
1,custom servic anonc you new year deliveri wait you pleas cal arang deliveri,spam
1,you winer u speciali select receiv å cash holiday flight inc speak live oper claim,spam
0,kep safe i ned i mi alreadi i envi everyon se real life,ham
0,new car hous parentsi new job hand,ham
0,im love you im excit day spend you you make hapi,ham
1,pl stop botydeli f invit friend repli ye no se her stop send stop frnd,spam
1,bangbab ur order way u should receiv servic msg download ur content if u not goto wap bangb tv ur mobil internetservic menu,spam
0,i place ur point e cultur modul alreadi,ham
1,urgent we tri contact you last wekend draw show å prize guarant cal claim code s valid hr,spam
0,hi frnd best way avoid misunderstd wit belov one,ham
0,great escap i fanci bridg ned lager se tomo,ham
0,ye it complet formclark also uter wast,ham
0,sir i ned axi bank acount bank adr,ham
0,hm thk sure got time hop ard ya go fre abt muz cal u discu liao,ham
0,what time come late,ham
0,blodi hel cant believ forgot surnam mr il give u clue spanish begin m,ham
0,wel im gona finish bath now have godfin night,ham
0,let know got money carlo make cal,ham
0,u stil go mal,ham
0,turn friend stay whole show back til ltgt fel fre go ahead smoke ltgt worth,ham
0,text her if doesnt repli let know log,ham
0,hi you spoke manesha v wed like know satisfi experi repli tol fre ye no,ham
0,you lift hope ofer money i ned especiali end month aproach hurt studi anyway gr wekend,ham
0,lol no u trust me,ham
0,ok i gentleman treat digniti respect,ham
0,he wil guy close,ham
0,go noth greatby,ham
0,helo handsom are find job not lazi work toward gete back net mumi where boytoy doe mi,ham
0,haha awesom minut,ham
1,pleas cal custom servic repres frephon ampm won guarant å cash å prize,spam
0,have got xma radio time if get,ham
0,i ju reach home i go bath first but si use net tel u finish k,ham
1,are uniqu enough find th august,ham
0,im sori ive join leagu peopl dont kep touch you mean great deal me you friend time even great person cost do great wek,ham
0,hi finali complet cours,ham
0,it stop itself i howev sugest stay someon abl give or everi stol,ham
0,how do hope setl new schol year just wishin gr day,ham
0,gud mrng dear hav nice day,ham
0,did u got person stori,ham
0,hamster dead hey tmr met pm orchard mrt,ham
0,hi kate even i hope se tomorow bit blodi babyjontet txt back u can x,ham
0,found it enc ltgt at,ham
0,i sent ltgt buck,ham
0,helo darlin ive finish coleg txt u finish u love kate x,ham
0,your acount refil sucesfuli inr ltdecimalgt your keralacircl prepaid acount balanc rs ltdecimalgt your transact id kr ltgt,ham
0,godmorn slepe ga,ham
0,u cal alter ok,ham
0,ìï say like dat dun buy ericson oso canot oredi lar,ham
0,as i enter cabin pa said hapi bday bo i felt special she askd lunch after lunch invit apart we went there,ham
0,aight yo dat straight dog,ham
0,you pleas give us conect today ltdecimalgt refund bil,ham
0,both shot big load get readi,ham
0,what bruv hope great break do reward semest,ham
0,home alway chat,ham
0,kgodstudi wel,ham
0,yup how ì noe leh,ham
0,sound great are home now,ham
0,finali match head toward draw predict,ham
0,tire i slept wel past night,ham
0,easi ahsen got select mean god,ham
0,i take exam march,ham
0,yeah should i think use gt atm regist not sure there anyway help let know but sure readi,ham
0,ok prob take ur time,ham
0,there os cale ubandu run without instal hard diskyou use os copi import file system give repair shop,ham
0,sori il cal late,ham
0,u say leh of cours noth hapen lar not say v romant ju bit lor i thk e nite sceneri nice leh,ham
1,new mobil must go txt nokia no colect todayfrom onli å optout gbpmtmsg,spam
0,would reali apreci cal me just ned someon talk to,ham
1,wil u met ur dream partner son is ur carer flyng start find fre txt horo folow ur star sign e g horo ari,ham
0,hey compani elama po mudyadhu,ham
0,life strict teacher bcoz teacher teach leson amp conduct exam but life first conduct exam amp teach leson hapi morn,ham
0,dear god morn,ham
0,get gandhipuram walk cro cut road right side ltgt stret road turn first right,ham
0,dear go ruber place,ham
0,sori bateri die yeah im,ham
0,yesher tv alway avail work place,ham
1,text met someon sexi today u find date even flirt u join p repli name age eg sam msg recdthirtyeight penc,spam
0,i print oh so ltgt come upstair,ham
0,or il litl close like bu stop stret,ham
0,where youwhen wil reach here,ham
0,new theori argument win situat lose person so dont argu ur friend just kick amp say im alway corect,ham
1,u secret admir loke make contact ufind reveal think ur specialc,spam
0,tomarow final hear laptop case cant,ham
0,pleas tel me v avent done sportsx,ham
0,okay no no shine on that meant sign sound beter,ham
0,although told u dat im baig face watch reali like e watch u gave co fr u thanx everyth dat uve done today im touch,ham
0,u rememb old comerci,ham
0,to late i said websit i dont sliper,ham
0,i ask cal ok,ham
0,kali wont bat nd ine,ham
0,it didnt work oh ok godnight then il fix readi time wake up you dearli mise god night slep,ham
1,congratul ur award cd voucher gift guarant fre entri wkli draw txt music tnc,spam
0,ranjith cal drpd deraj depak min hold,ham
0,wen ur lovabl bcum angri wid u dnt take serious coz angri childish n true way show dep afect care n luv ketoda manda have nice day da,ham
0,what doinghow you,ham
0,up day also shipe compani take wk the way usp take wek get lag may bribe nipost get stuf,ham
0,im back leme know readi,ham
0,dont necesarili expect done get back though im headin,ham
0,m yumi babe nice jolt suzi,ham
0,where lover i ned,ham
1,we tri contact repli ofer video handset anytim network min unlimit text camcord repli cal now,spam
0,i û m park next mini when come today think,ham
0,yup,ham
0,anyway im go shope now co si done yet dun disturb u liao,ham
0,my no in luton ring me if ur around h,ham
1,hey i reali horni want chat se nake text hot text charg pm unsubscrib text stop,spam
0,whi dint come us,ham
0,same wana plan trip sometm,ham
0,not sure yet stil tri get hold,ham
1,ur rington servic chang fre credit go clubmobilescom chose content now stop txt club stop pwk club po box mk wt,spam
0,the evo i download flash jealou,ham
1,rington club get uk singl chart mobil wek chose top qualiti rington thi mesag fre charg,spam
0,come mu were sort narcot situat,ham
0,night end anoth day morn come special way may smile like suni ray leav wori blue blue bay,ham
1,hmv bonu special pound genuin hmv voucher won just answer easi question play now send hmv more info,spam
0,usf i gue might wel take car,ham
0,no object my bf come,ham
0,thanx,ham
0,tel rob mack gf theater,ham
0,awesom il se bit,ham
0,just sent it so type fod like,ham
0,al done al hand in celebr ful swing yet,ham
0,you got cale tol,ham
0,wen u mi someon,ham
0,ok i ask money far,ham
0,oki,ham
0,yeah i think usual guy stil pase last night get ahold anybodi let know il throw,ham
0,k i might come tonight cla let earli,ham
0,ok,ham
0,hi babi im cruisin girl friend r u give cal hour home that alright fone fone love jeni x,ham
0,my life mean lot me not i love life but i love peopl life the world cal friend i cal world ge,ham
0,dearshal mail tonitebusi stretshal updat toniteth loke okvarunathu edukukay raksha olubut god one real sens,ham
0,hey told name gautham ah,ham
0,haf u found him i fel stupid da v cam work,ham
0,op got bit,ham
0,are much buzi,ham
0,i acidentali delet mesag resend pleas,ham
1,tmobil custom may claim fre camera phone upgrad pay go sim card loyalti cal ofer end thfebtc apli,spam
0,unl situat you go gurl would apropri,ham
0,hurt me teas me make cri but end life die plz kep one rose grave say stupid i mi u have a nice day bslvyl,ham
0,i cant pick phone right now pl send mesag,ham
0,ned cofe run tomoc believ time wek alreadi,ham
0,awesom i rememb last time got somebodi high first time diesel v,ham
0,shit reali shock scari cant imagin second def night out do u think somewher could crash night save taxi,ham
0,oh way fod fridg want go meal tonight,ham
0,he womdar actor,ham
1,sm ac blind date u rod m aberden unit kingdom check him sm acwicmbcktzr blind date send hide,ham
0,yup from remb i think bok,ham
0,jo ask u wana met up,ham
0,lol ye our friendship hang thread caus u buy stuf,ham
1,themob check new select content game tone gosip babe sport kep mobil fit funki text wap,spam
0,where garag key they bokshelf,ham
0,today acept dayu acept as brother sister lover dear best clo lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rpli mean enemi,ham
1,think ur smart win å wek wekli quiz text play nowtc winersclub po box m uz gbpwek,spam
0,he say hel give cal friend got money he definit buy end wek,ham
0,hi way i u day normal waythi real me ur uniquei hope i know u rest mylif hope u find wot lost,ham
0,you made day do great day to,ham
0,kadvanc hapi pongal,ham
0,hm gue go kb n power yoga haha duno tahan power yoga anot thk got lo oso forgot liao,ham
0,not reali dude friend im afraid,ham
1,decemb onli had mobil mth you entitl updat late colour camera mobil fre cal the mobil updat co fre,spam
0,cofe cake gue,ham
0,meri christma babe love ya kise,ham
0,hey whi dont go watch x men lunch haha,ham
0,cud u tel pl im gona b bit l co buse hav gon past co ful im stil waitin pete x,ham
0,that would great wel guild could met bristol road somewher get touch wekend our plan take flight have god wek,ham
0,no problem how do,ham
0,no calsmesagesmis cal,ham
0,hi dahow today cla,ham
0,id say that god sign but wel know track record read women,ham
0,col text park,ham
0,im read text sent you it meant joke so read light,ham
0,kapo kgod movi,ham
0,mayb could get bok tomo return imedi or someth,ham
1,cal germani penc per minut cal fix line via ace number no prepay direct ace,ham
0,ani chanc might evapor son violat privaci steal phone number employ paperwork not col al pleas contact i report supervisor,ham
1,valentin day special win å quiz take partner trip lifetim send go now pmsg rcvd custcar,spam
0,tada i home babe stil,ham
0,col so come havent wine dine befor,ham
0,just slepingand surf,ham
0,sori il cal late,ham
0,u cale right cal hand phone,ham
0,ok that great thanx lot,ham
0,i take post come then you must s text now hapi read my one wiv helo carolin end favourit ble,ham
0,where u hide strange,ham
0,am interest like that,ham
0,my sister clear two round birla soft yesterday,ham
0,gudnitetcpractic go,ham
0,di yiju i ju saw ur mail in case huim havent sent u num di num,ham
0,one smal prestig problem now,ham
1,fanci shag i dointerest sextextukcom txt xuk suzi txt cost per msg tnc websit x,spam
0,just check you reali mi se jeremiah do great month,ham
0,nah cant help there ive never iphon,ham
0,if car hour half im go apeshit,ham
0,today sori day if ever angri you ever misbehav hurt you plz plz just slap urself bcoz it ur fault im basicali god,ham
0,yo guy ever figur much ned alcohol jay i tri figur much safe spend wed,ham
0,ltgt ish minut wa minut ago wtf,ham
0,thank you calingforgot say hapi onam sirji fine rememb met insur personmet you qatar insha alahrakhesh ex tata aig join tiscotays,ham
1,congratul ur award cd voucher gift guarant fre entri wkli draw txt music tnc,spam
1,ur cashbal curent pound maxim ur cashin send cash pmsg c hgsuiteland rowjhl,spam
0,im actor when work work even slep late sinc im unemploy moment alway slep late when unemploy everi day saturday,ham
0,helo just got here st andrewsboy long way it cold i kep post,ham
0,ha ha col col chiku chikudb,ham
0,oh ok prob,ham
0,check audrey statu right,ham
0,busi here tri finish new year i loke forward finali mete you,ham
0,god afternon sunshin how dawn day are refresh hapi aliv do breath air smile i think you love as alway,ham
0,wel know z take care me so wori,ham
1,updatenow xma ofer late motorola sonyericson nokia fre bluetoth doubl min txt orang cal mobileupd caloptoutfq,spam
1,here discount code rp to stop mesag repli stop custom servic,spam
0,wat uniform in get,ham
0,col text readi,ham
0,helo boytoy ge i mi alreadi i woke up i wish bed me cudl me i love,ham
0,i spoil bed wel,ham
0,im go bath msg next ltgt min,ham
0,i cant kep talk peopl sure pay agr price so pl tel want reali buy much wile pay,ham
1,thank rington order refer t you charg gbp per wek you unsubscrib anytim cale custom servic,spam
0,can say hapen,ham
0,you could sen mei didt recognis face,ham
0,wel there lot thing hapen lindsay new year sigh some bar ptbo blue heron someth go,ham
0,kep payasam rinu bring,ham
0,i taught ranjith sir cale me so sm like that becau he verifi project prabu told today pa dont mistak me,ham
0,i gue that wori you must know there way bodi repair itself and im quit sure wori wel take slow first test guid ovul relax noth said reason wori il kep folowin up,ham
0,yeah sure give coupl minut track walet,ham
0,hey leav it big deal take care,ham
0,hey late ah met,ham
1,doubl min txt month fre bluetoth orang avail soni nokia motorola phone cal mobileupd caloptoutndx,spam
0,it tok mr owl lick,ham
0,custom place cal you,ham
0,m time dont like fun,ham
1,mth half price orang line rental late camera phone fre had phone mth cal mobilesdirect fre updat now orstoptxt,spam
0,yup lunch bufet now u eat alreadi,ham
0,huh late fr diner,ham
0,hey sat go intro pilat onli or kickbox to,ham
0,morn ok,ham
0,ye think so i ofic lap rom think that last day i didnt shut,ham
0,pick bout ish what time go,ham
0,from the perform award calcul everi two monthnot curent one month period,ham
0,wa actuali slepe stil might u cal back so text gr you rock si wil send u text wen wake,ham
0,you alway pute busin there you put pictur as facebok you one open peopl ive ever met whi would think pictur rom would hurt you make fel violat,ham
0,god even sir al salam wahleykumshar hapi newsbi grace god got ofer taysertisco joinedhop fineinshah alahmet sometimerakheshvisitor india,ham
0,hmkbut want chang field quickli dai wana get system administr network administr,ham
1,fre rington text first poli text get true tone help st fre tone xå pw eå nd txt stop,spam
0,dear chechi did talk,ham
0,the hair cream shipe,ham
0,none that hapen til get though,ham
0,yep great loxahatch xma tre burn ltgt start hour,ham
0,haha get use drive usf man i know lot stone,ham
0,al wel slightli disastr cla pm fav darl hope day ok cofe wld god cant stay late tomorow same time place alway,ham
0,helo god wek fanci drink someth late,ham
0,headin toward busetop,ham
0,mesagesom text mise sendernam mise number mise sentdat mise mise u lot that everyth mise sent via fulonsmscom,ham
0,come rom point iron plan wekend,ham
0,co want thing,ham
0,oki il go yan jiu to we skip ard oso go cine den go mrt one blah blah blah,ham
0,bring home wendi d,ham
1,date servic cal boxskch,spam
0,whatsup there dont u want slep,ham
0,alright new goal,ham
1,fre entri å wekli competit text word win now tc,spam
0,alright il head minut text met,ham
1,send logo ur lover name join heart txt love name name mobno eg love adam eve yaho poboxwwq txtno ad p,ham
0,yesfrom last wek im take live cal,ham
1,someon contact date servic enter phone fanci you to find cal landlin poboxntfp,spam
0,siva hostel aha,ham
1,urgent your mobil number award å prize guarant cal land line claim valid hr,spam
0,send ur friend receiv someth ur voic how speak expres childish naughti sentiment rowdi ful atitud romant shi atract funi ltgt irit ltgt lovabl repli me,ham
0,ok shel ok i gue,ham
0,athiwher dear,ham
0,ani pain urin thing els,ham
0,esplanad do ì mind give lift co got car today,ham
0,i wnt buy bmw car urgentlyit vri urgentbut hv shortag ltgt lacsther sourc arng di amt ltgt lacsthat prob,ham
0,at home watch tv lor,ham
0,doe usuali take fiften fuck minut respond ye question,ham
1,congrat nokia video camera phone cal cal cost pm ave cal min vari mobil close post bcm ldn wcnx,spam
0,boke ticket pongal,ham
0,you avail now im like right around hilsborough amp ltgt th,ham
0,the mesag sent askin ltgt dolar shoul pay ltgt ltgt,ham
0,ask g iouri ive told stori like ten time alreadi,ham
0,how long apleb fuck take,ham
0,hi hope u get txtjourney hasnt gdnow min late i think,ham
0,but to i like love arang,ham
0,yesh reali greatbhaji told kali best cricket sachin worldveri tough get out,ham
0,you supos wake me gt,ham
0,oic i saw tot din c me i found group liao,ham
0,sori il cal late,ham
0,hey hey wereth monkespeopl say we monkeyaround howdi gorgeou,ham
0,sori bateri die i come im gete gram now where place,ham
0,wel done blimey exercis yeah kinda rememb wot is hm,ham
0,i wont get concentr dear know mind everyth,ham
0,lol have made plan new year,ham
0,min late k,ham
0,hank lotsli,ham
0,thank hope god day today,ham
0,kwhat detail want transferac enough,ham
0,ok tel stay out yeah tough optimist thing improv month,ham
1,loan purpos å å homeown tenant welcom have previous refus we stil help cal fre text back help,spam
0,si si i think il go make oreo trufl,ham
0,lok at ami ure a beauti intelig woman and i like u a lot i know u donåõt like me like that so donåõt wori,ham
0,i hope that result consist intelig kind start ask practicum link kep ear open best tyl,ham
0,cal cost which gue isnt bad mi ya ned ya want ya love ya,ham
0,go thru difer felingwav decis cope individualtim heal everyth believ,ham
0,where u go my phone gona die stay,ham
0,great never beter each day give even reason thank god,ham
1,upgrdcentr orang custom may claim fre camera phone upgrad loyalti cal ofer end th juli tc apli optout avail,spam
0,sori il cal late ok bye,ham
0,ok way railway,ham
0,great princ i love give receiv oral dogi style fave posit how you i enjoy make love ltgt time per night,ham
0,they put stuf road kep gete sliperi there,ham
0,when go ride bike,ham
0,yup ned il ju wait e rain stop,ham
0,there mani compani tel languag,ham
1,okmail dear dave final notic colect tenerif holiday cash award cal landlin tc sae box cwwx pm,spam
0,how long sinc scream princ,ham
0,noth i meant money enter acount here bank remov flat rate someon transfer ltgt acount ltgt dolar got remov so bank difer charg also diferb sure trust ja person send acount detail co,ham
1,want get laid tonight want real doge locat sent direct ur mob join uk large doge network txting moan nyt eca pmsgp,ham
0,nice line said broken heart plz cum time infront me other wise i trust u god t,ham
0,ok im gona head usf like fiften minut,ham
0,love athilov u lot,ham
0,tension ahwhat machiani problem,ham
0,k i pick anoth th done,ham
0,whenr guy gete back g said think stay mcr,ham
0,almost there se u sec,ham
0,yo carlo friend alreadi ask you work wekend,ham
0,watch tv lor,ham
0,thank babi i cant wait tast real thing,ham
0,you chang fb jaykwon thuglyf falconerf,ham
0,if win reali side long time,ham
1,fre mesag activ fre text mesag repli mesag word fre for term condit visit,spam
0,dear reach railway what hapen,ham
0,depend qualiti if want type sent boy fade glori if want ralph mayb,ham
0,i think ive fix send test mesag,ham
0,sori man acount dri i would want could trade back half i could buy shit credit card,ham
1,congrat year special cinema pa your cal now c suprman v matrix starwar etc fre bxipw pm dont mi out,spam
0,soryin mete il cal late,ham
0,what cla ltgt reunion,ham
0,are fre nowcan cal now,ham
0,got meh when,ham
0,nope think go monday sori repli late,ham
0,some told acentur confirm is true,ham
0,kate jackson rec center ish right,ham
0,dear reach rom,ham
0,fight world easi u either win lose bt fightng some close u dificult u lose u lose u win u stil lose,ham
0,when ì come out,ham
0,check nuerologist,ham
0,lolnic i went fish water,ham
1,congratul wek competit draw u å prize claim cal b tcstop sm over pm,spam
0,no wait e car dat bore wat co wait outsid got noth do at home stuf watch tv wat,ham
0,mayb westshor hyde park vilag place near hous,ham
0,you know now so how anthoni are bring money ive schol fe pay rent stuf like that that ned help a friend ned,ham
0,what signific,ham
0,your opinion me over jada kusruthi lovabl silent spl charact not matur stylish simpl pl repli,ham
0,late gs stil scroung amo want give new ak tri,ham
0,prabhaim sorydarealyfrm heart im sori,ham
0,lol ok forgiven,ham
0,nojst chang tat onli,ham
1,you guarant late nokia phone gb ipod mp player å prize txt word colect no ibhltd ldnwh pmtmsgrcvd,spam
0,sno competit him,ham
1,boltblu tone p repli poli mono eg poli cha cha slide yeah slow jamz toxic come with me stop tone txt more,spam
1,your credit tope your renew pin tgxrz,ham
0,that way transport le problemat sat night by way u want ask n join bday fel fre but ned know definit no boke fri,ham
0,usuali person unconsci that children adult may behav abnormali il cal,ham
0,but that ebay might le elsewher,ham
0,shal come get pickl,ham
0,were gona go get taco,ham
0,that rude campu,ham
1,urgent your mobil no award å bonu caler prize thi nd atempt contact you cal boxqu,spam
0,hi b ard christma but enjoy n meri xma,ham
1,today ofer claim ur å worth discount voucher text ye now savamob member ofer mobil t cs å sub unsub repli x,spam
0,ye how preti ladi like singl,ham
1,you reciev tone within next hr for term condit pleas se chanel u teletext pg,ham
0,jay say doublefagot,ham
1,privat your acount statement show unredem sim point cal identifi code expir,spam
0,what todaysundaysunday holidayso work,ham
0,gudnitetcpractic go,ham
0,il late,ham
0,ive cale while thi hope lr malaria know mi guy i mi bani big pl give love especiali have great day,ham
0,god afternon love how goe day i hope mayb got lead job i think you boytoy send pasion ki acro sea,ham
0,probabl gona while se late tonight lt,ham
0,or mayb fat finger pre buton know do,ham
0,umah mani mani hapi return day dear swet heart hapi birthday dear,ham
0,i tirupur da start ofic cal me,ham
1,monthlysubscriptionpmsg maxmonth tcsc web age stop txt stop,spam
0,a famou quot develop abil listen anyth unconditionali without lose temper self confid mean mari,ham
0,but go coleg pa what do els il come self pa,ham
0,oclock mine just bash flat plan,ham
0,thi girl stay bed thi girl ned recoveri time id rather pa fun cope bed,ham
0,then special there,ham
0,i know ned get hotel now i got invit apologis cali swet come english bloke wedin,ham
0,sori tok long omw,ham
0,wait ltgt min,ham
0,ok give minut i think i se her btw alibi you cute hair whole time,ham
0,imagin finali get sink bath i put pace mayb even eat i left but also imagin fel cage cock suround bath water remind alway own enjoy cuck,ham
0,huri up ive wedefici like thre day,ham
0,sure i get acknowledg astoundingli tactl generali fagi demand blod oath fo,ham
